13	16	12	1	0	2	49	43	10	8	12	3	2	1	72	71	1	1	3	0	2	1	105	25	10	16	13	2	7	2	51	23	6	63	130	4	2	2	6	5	5	51	130	16	5	2	23	25	3	7	130	86	7	4	59	14	18	10	112	29	0	3	67	34	23	32	110	6	0	1	33	56	6	44	130	9	0	0	42	24	0	1	130	74	0	0	27	7	0	5	130	53	3	0	16	0	56	3	7	0	5	10	79	79	27	3	7	0	7	6	99	81	5	0	14	0	1	0	85	80	1	0	40	4	0	3	88	16	
12	15	11	1	1	1	53	45	8	6	11	2	1	1	73	70	1	1	2	1	4	1	107	19	12	20	15	2	6	2	45	25	6	62	130	3	2	2	7	6	3	43	130	21	5	1	26	26	5	7	130	90	7	5	64	14	18	10	110	22	0	2	68	37	19	35	115	6	0	1	32	53	5	36	130	14	0	0	43	18	0	1	130	80	0	0	24	6	0	4	130	49	3	0	16	0	59	3	6	0	5	8	72	80	20	3	7	0	6	5	100	79	5	0	17	1	1	0	85	76	1	0	43	5	1	5	89	11	
12	15	11	1	1	1	56	47	6	5	11	2	1	0	75	67	2	2	3	1	5	2	107	16	14	24	16	1	5	1	40	28	6	61	130	4	2	2	8	7	2	36	130	28	5	1	30	26	8	7	130	91	6	6	69	15	17	9	107	15	0	1	70	41	16	37	121	6	0	1	31	49	4	29	130	21	0	0	43	14	0	2	130	84	0	0	23	5	0	4	130	47	4	0	15	0	58	3	5	0	5	7	67	80	14	2	8	0	5	4	100	79	5	0	21	1	1	0	87	70	0	0	45	7	2	9	88	7	
11	14	10	1	1	1	58	49	5	4	10	1	1	0	79	63	3	3	4	1	6	3	104	14	15	27	18	1	4	1	36	30	6	59	130	4	3	1	9	9	1	29	130	37	5	1	34	25	11	8	130	88	5	7	74	18	15	8	103	11	0	0	71	46	14	39	126	5	0	0	31	44	2	21	130	30	0	0	42	11	0	3	130	85	1	0	21	4	0	3	130	48	5	0	14	0	55	3	5	0	6	6	65	79	10	1	9	0	4	3	98	80	5	0	26	2	0	0	91	63	0	0	45	9	4	15	86	3	
11	13	10	2	1	0	59	51	4	3	8	1	1	0	85	56	5	6	5	2	7	3	100	15	16	29	19	1	3	0	33	31	6	57	130	5	3	1	11	11	1	22	130	48	5	1	39	24	15	10	130	82	4	7	78	22	14	7	97	9	0	0	73	52	11	42	130	4	0	0	31	39	2	14	130	39	0	0	40	9	0	4	130	85	1	0	21	3	0	2	130	53	7	1	13	0	51	4	4	0	6	5	66	77	7	1	9	0	3	2	96	81	5	0	31	2	0	0	96	55	0	0	44	12	5	21	83	1	
10	11	10	2	1	0	60	53	2	3	6	1	1	0	91	48	7	9	8	2	9	3	93	19	17	31	20	0	1	0	32	33	6	54	130	6	4	1	12	13	0	16	130	62	6	2	44	20	19	12	130	71	3	6	82	28	12	6	90	9	0	0	75	58	9	43	130	3	0	0	31	33	1	8	130	50	0	0	37	9	0	5	130	84	1	0	21	2	0	2	130	60	8	1	12	0	43	3	4	0	7	5	69	73	6	0	10	0	2	2	93	83	4	0	38	3	0	0	102	46	0	0	42	16	7	29	77	0	
9	9	10	2	1	1	58	56	1	2	5	0	1	0	99	38	9	13	11	3	10	4	83	24	18	32	19	0	0	0	32	33	5	51	130	6	4	1	14	16	0	10	130	76	6	2	51	16	22	14	130	57	2	5	83	36	10	5	80	11	0	0	78	63	7	44	130	2	0	0	32	27	0	2	130	61	0	0	34	8	0	6	130	81	2	0	21	1	0	1	130	71	9	1	10	0	34	3	4	0	7	5	73	69	6	0	11	0	2	1	90	84	3	0	44	4	0	0	108	36	0	0	39	20	9	38	69	0	
8	7	10	2	1	1	57	57	1	2	3	0	1	0	105	29	11	18	15	3	10	3	72	27	18	33	19	0	0	0	33	33	4	46	129	9	4	2	17	19	1	7	129	85	7	3	57	14	24	14	129	44	1	4	84	42	8	4	70	14	0	0	81	67	6	41	129	4	0	0	33	22	0	0	129	70	0	0	30	8	0	7	129	74	3	0	21	0	0	0	129	84	11	1	9	0	26	3	5	0	6	5	77	65	6	0	13	0	1	1	87	84	2	0	49	4	0	1	112	27	0	0	35	24	11	45	61	0	
7	6	10	2	1	0	57	57	1	1	2	0	3	1	107	23	14	23	18	3	8	3	63	30	17	32	20	0	0	0	34	32	3	38	128	13	3	1	19	20	3	7	128	89	7	4	61	14	23	13	128	34	0	3	86	45	7	4	59	16	1	1	86	71	5	33	128	8	0	0	34	17	0	1	128	77	0	0	27	7	0	6	128	66	4	0	21	0	0	0	128	98	11	2	7	0	20	2	5	0	5	4	79	63	5	0	15	0	1	0	86	80	2	0	54	5	1	4	114	19	0	0	32	28	13	50	55	0	
6	5	9	1	1	0	58	55	1	1	2	1	4	2	108	18	16	28	20	2	7	2	55	33	16	30	20	0	0	0	35	32	2	32	128	18	3	1	22	21	6	7	128	91	7	5	66	15	22	12	128	25	0	2	88	49	6	3	49	18	2	2	92	74	3	26	128	13	0	0	34	13	0	2	128	82	0	0	24	5	0	5	128	61	5	0	20	0	0	0	128	109	11	2	7	0	14	2	6	0	4	4	79	63	5	0	18	1	1	0	86	75	1	0	56	7	2	9	114	12	0	0	29	31	14	55	48	0	
4	4	8	1	1	0	60	52	2	2	3	1	5	2	107	15	18	32	22	2	6	1	49	36	14	28	21	0	0	0	36	30	1	26	127	24	4	1	24	21	9	8	127	91	6	6	71	17	21	11	127	18	0	1	90	55	5	3	41	20	3	4	101	75	2	20	127	19	0	0	33	10	0	3	127	85	1	0	22	4	0	4	127	60	6	0	19	0	0	0	117	117	11	2	7	1	10	1	6	0	4	3	78	63	5	0	22	1	1	0	89	68	0	0	58	10	4	14	112	7	0	0	27	33	16	57	43	1	
3	3	7	1	1	0	64	48	3	4	4	2	7	3	103	15	20	35	24	1	4	1	45	39	13	26	23	0	0	0	38	28	1	20	127	32	4	0	28	20	13	9	127	86	5	7	75	20	19	10	127	13	0	0	92	61	4	2	33	21	4	5	114	72	1	14	127	26	0	0	32	8	0	4	127	86	1	0	21	3	0	3	127	63	8	1	18	0	0	0	107	122	11	3	8	1	7	1	7	0	3	2	77	64	5	0	27	2	0	0	93	60	0	0	57	13	5	21	108	4	0	0	26	34	17	58	38	2	
2	2	6	1	0	0	69	42	5	7	6	2	8	3	97	16	21	38	25	1	3	0	42	41	11	23	24	0	0	0	40	25	0	16	127	41	4	1	32	18	16	10	127	78	4	7	80	24	16	9	121	12	0	0	94	69	3	2	27	21	5	7	127	66	1	9	127	34	0	0	31	7	0	5	127	85	1	0	21	2	0	3	127	70	9	1	17	0	0	0	103	122	11	3	10	1	5	0	7	0	2	2	75	64	4	0	34	3	0	0	98	52	0	0	56	17	7	30	103	1	1	0	26	34	18	57	34	5	
2	2	5	0	0	0	74	35	7	11	9	2	9	3	90	20	22	40	25	0	1	0	41	42	9	19	26	0	0	0	43	22	0	11	127	52	5	1	36	15	20	12	127	67	3	6	83	31	14	8	111	13	0	0	97	77	2	1	24	20	6	9	127	58	0	5	127	43	0	0	28	7	0	6	127	83	2	0	21	1	0	2	127	82	11	2	15	0	0	0	104	119	11	3	12	0	5	0	8	0	2	1	73	66	3	0	40	3	0	0	105	43	0	0	53	22	9	40	95	0	2	0	27	33	20	53	31	8	
